医院名称,经度,纬度,医院等级,缓冲区距离
汉川市人民医院,113.837449,30.64652488,无,1000
钟祥市人民医院,112.626509,31.11985288,无,1000
潜江市中心医院,113.4658176,30.36719294,无,1000
汉南区人民医院,114.0796056,30.31942143,无,1000
海南省昌江县黎族自治州医疗集团,109.0624641,19.30399788,无,1000
湖北省人民医院荆州高新区医院,114.0796056,30.31942143,无,1000
松滋市人民医院,111.7605514,30.16302403,无,1000
鄂州市中心医院,114.8893866,30.4037768,无,1000
沙洋县人民医院,112.5728794,30.71870278,无,1000
河南省息县人民医院,114.7631407,32.36719017,无,1000
河南省固始县中医院,115.6571854,32.17340878,无,1000
河南信阳市第三人民医院,114.060909,32.12685195,无,1000
武汉市第九医院,114.3667582,30.62536363,二级甲等,20000
江陵县人民医院,112.441556,30.05254124,无,1000
应城市妇幼保健院,113.582205,30.94800587,无,1000
黄梅县人民医院,115.9508929,30.08262386,无,1000
麻城市红十字会医院,115.045077,31.18861285,无,1000
武汉市石化医院,114.4396677,30.66310489,二级乙等,15000
罗田县妇幼保健院,115.4092779,30.78902699,无,1000
麻城市精神病医院,115.0758733,31.1717226,无,1000
监利大垸医院,112.723618,29.84153399,无,1000
中国建筑第三工程局武汉中心医院,115.9943913,40.47830889,二级乙等,15000
武汉紫荆医院,114.3346504,30.58697042,二级乙等,15000
湖北省监狱管理局总医院,114.34332,30.54728093,无,1000
孝昌县第一人民医院,113.99518,31.25009196,无,1000
云梦县人民医院,113.770146,31.04085139,无,1000
赤壁市人民医院,113.9185856,29.73083191,无,1000
潢川县人民医院,115.046382,32.13893105,无,1000
监利县人民医院,116.340455,39.73656511,无,1000
武汉市洪山区青菱街社区卫生服务中心（武汉科技大学医院）,114.270829,30.44911592,无,1000
石首市妇幼保健院,112.414325,29.72454899,无,1000
武汉市江夏区中医医院,114.3492144,30.36434561,二级甲等,20000
广水市中医医院,113.9051447,31.61836867,无,1000
谷城县人民医院,111.560414,32.27711604,无,1000
广水市第一人民医院,113.8276877,31.61764859,无,1000
武汉市江夏区妇幼保健院,114.322648,30.35469896,一级甲等,10000
洪湖市中医医院,113.4688158,29.82669111,无,1000
武汉德康老年病医院（洪山区张家湾街烽胜路社区卫生服务中心）,114.3006661,30.48525563,无,1000
嘉鱼县人民医院,113.9455705,29.97635352,无,1000
建始县中医院,109.7155706,30.60431886,无,1000
武穴市妇幼保健院,115.5405494,29.86391369,无,1000
咸宁市咸安区中医医院,114.3310767,29.83756133,无,1000
青山区红钢城街社区卫生服务中心,114.4080583,30.6429756,无,1000
黄石有色医院,114.952997,30.07668022,无,1000
罗田县万密斋医院,115.4004886,30.79346148,无,1000
石首市中医医院,112.4157383,29.72995242,无,1000
宜都市第一人民医院,111.4511116,30.36881098,无,1000
仙桃市妇幼保健院,113.180087,30.63619692,无,1000
华中农业大学医院,114.363708,30.4817799,无,1000
武汉理工大学医院,114.362659,30.6097389,无,1000
中国地质大学医院,116.3571699,39.99794339,无,1000
武汉音乐学院医疗中心,114.3049263,30.55007194,无,1000
武汉体育学院医院,114.4398692,30.40296688,无,1000
中南民族大学医院（洪山区关山街民院路社区卫生服务站）,114.4036094,30.49347551,无,1000
武汉东湖新技术开发区佛祖岭社区卫生服务中心,114.4628379,30.434476,无,1000
武汉东湖新技术开发区滨湖街社区卫生服务中心,114.4730403,30.30809338,无,1000
武汉东湖新技术开发区龙泉街社区卫生服务中心,114.5435831,30.39430456,无,1000
武汉东湖新技术开发区豹澥街社区卫生服务中心,114.5493769,30.46749045,无,1000
浠水县中医院,115.2725258,30.44918029,无,1000
黄冈市中心医院（大别山区域医疗中心）,114.9538116,30.45716105,无,1000
汉川市妇幼保健院,113.833423,30.65182494,无,1000
随州市中心医院（湖北医药学院附属随州医院）,113.3823622,31.71462534,无,1000
宜城市人民医院,112.261622,31.70684782,无,1000
汉阳区龙阳医院,114.2179521,30.55279174,无,1000
蔡甸区济和医院,114.038912,30.57750786,无,1000
武汉商贸职业学院医院,114.467834,30.44273291,无,1000
五峰县人民医院,111.0886808,30.18205224,无,1000
咸丰县人民医院,109.1572713,29.68902482,无,1000
恩施市中心医院,109.4978833,30.28214664,无,1000
新疆生产建设兵团第五师医院,126.6323163,45.61202328,无,1000
博州地区医院,120.1207204,29.35351351,无,1000
新疆医科大学附属五医院,87.71592103,43.85822815,无,1000
西藏山南地区妇幼保健院,89.61369131,28.91371696,无,1000
西藏山南地区医院,121.3711025,31.17914216,无,1000
武汉大学人民医院,114.2916252,30.48001008,三级甲等,50000
