医院名称,经度,纬度,医院等级,缓冲区距离
荆门市口腔医院,112.5974161,31.17038534,无,1000
襄阳市口腔医院,112.1331181,32.01568116,无,1000
宜昌市中心人民医院,111.2955107,30.70067477,无,1000
恩施州中心医院,109.417326,29.51225898,无,1000
来凤县中心医院,109.417326,29.51225898,无,1000
孝感口腔医院,113.9342139,30.93105599,无,1000
南昌大学附属口腔医院,115.8553956,28.69298889,无,1000
海南口腔医院,100.6266211,36.29210248,无,1000
贵阳市口腔医院,106.7204298,26.57085757,无,1000
兰州市口腔医院,103.8891467,36.07206683,无,1000
长沙市口腔医院,112.9831331,28.20332636,无,1000
岳阳市口腔医院,113.2751515,29.16150613,无,1000
东莞健力口腔医院,113.760232,23.04572102,无,1000
桂林市口腔医院,110.2998882,25.28350037,无,1000
湖北咿呀医疗投资管理股份有限公司,115.999447,40.46523603,无,1000
麻城阳光口腔医院,115.0349563,31.1840889,无,1000
天门市口腔医院,112.9056032,30.42610021,无,1000
十堰市太和医院,110.8099996,32.64133241,无,1000
黄冈皓雅口腔医院,114.8854724,30.45550489,无,1000
武汉达美口腔门诊部,114.2410464,30.64480121,无,1000
武汉萌芽齿科口腔门诊部,114.2410464,30.64480121,无,1000
武汉品圆口腔门诊部,114.2410464,30.64480121,无,1000
恩施百特口腔门诊部,109.491474,30.30338567,无,1000
麻城市人民医院,114.994125,31.18003943,无,1000
咸宁民生中山口腔医院,114.3409845,29.84761958,无,1000
乌鲁木齐市口腔医院,87.62206697,43.80000413,无,1000
呼和浩特市口腔医院,111.6674461,40.78296723,无,1000
山西齿科医院（有限公司）,117.3775787,40.63907728,无,1000
义乌市口腔医院,120.1222841,29.33104138,无,1000
银川市口腔医院,106.257719,38.49619909,无,1000
河南省口腔医院,113.6559896,34.72639992,无,1000
许昌口腔医院,113.8572689,34.03522633,无,1000
安阳市第六人民医院,114.395122,36.10519689,无,1000
潜江市口腔医院,112.9056032,30.42610021,无,1000
洪山维啦口腔门诊部,114.3323688,30.50162438,无,1000
武汉大众口腔枣阳医院,112.7683624,32.13441934,无,1000
武汉美莱口腔门诊,114.3350258,30.59029693,无,1000
广水市瑞康口腔门诊部,113.8549315,31.61399628,无,1000
十堰国药东风口腔医院,110.7772859,32.66128772,无,1000
十堰市人民医院,110.2417892,32.22653726,无,1000
江夏健齿园口腔门诊,114.3203982,30.35797523,无,1000
三亚口腔医院,109.5105341,18.2474879,无,1000
武汉存济口腔医院,114.2735318,30.63191849,无,1000
武汉德韩口腔医疗集团有限公司,114.2408372,30.59262755,无,1000
仙桃龙华口腔医院,113.4570527,30.37876497,无,1000
怀化恒瑞口腔医院,109.9936929,27.53081571,无,1000
九江学院附属口腔医院,116.0076746,29.72818737,无,1000
漯河市第二人民医院,113.9332208,33.81110124,无,1000
南阳市口腔医院,112.5282785,32.99087057,无,1000
六盘水戴氏口腔医院,104.8700513,26.58148734,无,1000
博尔塔拉蒙古自治州人民医院,82.90001204,44.60872904,无,1000
湖北省妇幼保健院,114.2991205,30.48499763,三级甲等,50000
宜昌市西陵区口腔医院,111.3000465,30.70972533,无,1000
巴东县人民医院,110.3652513,31.05072924,无,1000
湖北民族大学附属民大医院,114.274152,30.59281601,无,1000
河北医科大学口腔医院,117.2035928,39.15348514,无,1000
深圳第七人民医院,114.2400536,22.56394729,无,1000
佛山市口腔医院,113.109707,23.02502485,无,1000
驻马店市中心医院,114.405402,32.6112441,无,1000
濮阳市第三人民医院,115.1069401,35.90873962,无,1000
厦门医学院附属口腔医院,118.0459799,24.55675764,无,1000
赣南医学院附属口腔医院,114.9408057,25.86686903,无,1000
安徽医科大学附属口腔医院,117.3038219,31.7385122,无,1000
湘潭市口腔医院,112.941243,27.90934398,无,1000
十堰市郧西县妇幼保健院,110.4276845,32.99917427,无,1000
平顶山市第一人民医院,113.322271,33.74646806,无,1000
皖南医学院弋矶山医院,118.3693105,31.29275739,无,1000
合肥市口腔医院,117.2847246,31.73408171,无,1000
武汉大学口腔医院,114.1712836,30.51229195,三级甲等,50000
