医院名称,经度,纬度,医院等级,缓冲区距离
湖北省中医院,114.316364,30.55599388,三级甲等,50000
武汉大学,114.3659811,30.53483567,无,1000
华中科技大学,120.9467105,31.44308781,无,1000
华中农业大学,114.363708,30.4817799,无,1000
华中师范大学,114.263819,22.72277996,无,1000
武汉理工大学,114.3648528,22.73401389,无,1000
中南财经政法大学,109.4106366,24.32317732,无,1000
中国地质大学,116.3571699,39.99794339,无,1000
湖北大学,114.3362306,30.58372796,无,1000
武汉科技大学,114.3468174,30.52183163,无,1000
中南民族大学,114.3993955,30.49187357,无,1000
湖北工业大学,114.3163082,30.48518366,无,1000
武汉纺织大学,114.344906,30.38214401,无,1000
武汉工程大学,114.3970457,30.50816497,无,1000
江汉大学,114.1666974,30.52085299,无,1000
武汉体育学院,114.4398692,30.40296688,无,1000
